Cmpd,dE,dE‡,dG,dG‡
TFK-660,12.8103733544945,9.41923814480138,13.1533486395679,15.6997535924415
TFK-520,17.0592180176928,12.2919141504006,18.2694367839198,19.7409471246759
TFK-718,9.31414498002864,8.17762098415382,9.65816466245835,14.696558814223
TFK-661,12.6602524592252,9.52037976367885,14.022018728084,16.8303322971951
TFK-709-2,9.42524300684227,7.8579276643186,11.0650171863253,13.9731609577229
TFK-746,9.5152886764871,7.93372520878917,11.0046743430704,13.9341862601325
TFK-710,8.21530251009124,7.4810000386468,8.01921703642265,13.6994175560169
TFK-471,10.7046002340616,9.23177881814542,11.5602309344614,16.295228458782
TFK-727,10.3475569185619,7.22991171989817,11.3324092901822,13.8962674026138
dehal-BTZ,16.9391461316517,12.2722656471417,17.6956135283766,18.9627485360712
TFK-543,9.52009208152476,8.01415377392416,10.2696760123107,13.4816081222977
TFK-719,9.85649347177361,7.96431741020234,11.00179679672,15.326178969578
BTZ-043,9.21848937347604,8.72446624159066,9.63403778840127,15.263564602009
TFK-483,6.26236606208175,6.78330018172666,7.30191311034522,13.4996597564567
TFK-726,9.99815134111032,8.8434541124471,10.8760175157199,14.2325796930915
TFK-449,10.471704231564,9.30575986198162,11.0484744709173,16.4262741181469
TFK-659,8.47380247670204,7.55411346544076,9.85185671070387,14.233618083518
